48756220 function calls (48441777 primitive calls) in 1809.791 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      252    0.000    0.000    0.001    0.000 lexer.py:556(<genexpr>)
        1    0.000    0.000    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
     2302    0.001    0.000    0.001    0.000 _parser.py:256(match)
        1    0.000    0.000    0.001    0.001 parse_tree_builder.py:332(__init__)
      177    0.000    0.000    0.001    0.000 parse_tree_builder.py:340(_init_builders)
       33    0.000    0.000    0.001    0.000 _compiler.py:511(_compile_info)
      679    0.000    0.000    0.001    0.000 conversion.py:436(_get_i64_ssa_reg)
       13    0.001    0.000    0.001    0.000 _simple.py:87(add_external_function)
        1    0.000    0.000    0.001    0.001 module.py:35(__init__)
        1    0.001    0.001    0.001    0.001 _simple.py:29(__init__)
       85    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      176    0.000    0.000    0.001    0.000 parse_tree_builder.py:162(maybe_create_child_filter)
      459    0.000    0.000    0.001    0.000 lexer.py:81(to_regexp)
      168    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
      168    0.000    0.000    0.001    0.000 _parser.py:274(getuntil)
      599    0.000    0.000    0.001    0.000 lexer.py:559(<lambda>)
     2716    0.001    0.000    0.001    0.000 utils.py:77(<dictcomp>)
       84    0.000    0.000    0.001    0.000 copy.py:66(copy)
        1    0.000    0.000    0.001    0.001 parse_tree_builder.py:358(create_callback)
        6    0.000    0.000    0.000    0.000 qasm.py:848(<dictcomp>)
     1653    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
        6    0.000    0.000    0.000    0.000 {built-in method pytket._tket.circuit.to_dict}
    16/12    0.000    0.000    0.000    0.000 cache.py:69(wrapper)
       58    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.000    0.000 decorators.py:224(_func)
        6    0.000    0.000    0.000    0.000 decorators.py:99(binary_op_wrapper)
        6    0.000    0.000    0.000    0.000 expr.py:215(__mul__)
     2053    0.000    0.000    0.000    0.000 conversion.py:96(<lambda>)
     1090    0.000    0.000    0.000    0.000 _parser.py:176(append)
      176    0.000    0.000    0.000    0.000 grammar.py:112(_deserialize)
     1098    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      168    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      2/1    0.000    0.000    0.000    0.000 operations.py:52(__new__)
      258    0.000    0.000    0.000    0.000 lexer.py:375(<genexpr>)
      459    0.000    0.000    0.000    0.000 __init__.py:253(escape)
       66    0.000    0.000    0.000    0.000 enum.py:1525(__and__)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      721    0.000    0.000    0.000    0.000 lexer.py:98(to_regexp)
        6    0.000    0.000    0.000    0.000 {built-in method pytket._tket.circuit.symbol_substitution}
       64    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
  768/183    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       38    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 mul.py:197(flatten)
     2849    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1200    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      267    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
       83    0.000    0.000    0.000    0.000 lexer.py:651(<listcomp>)
        1    0.000    0.000    0.000    0.000 tempfile.py:314(gettempdir)
      218    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 tempfile.py:302(_gettempdir)
        1    0.000    0.000    0.000    0.000 tempfile.py:184(_get_default_tempdir)
        1    0.000    0.000    0.000    0.000 lark.py:543(<listcomp>)
      925    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method pyqir._native.qir_module}
        4    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
        6    0.000    0.000    0.000    0.000 qasm.py:849(<dictcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
       84    0.000    0.000    0.000    0.000 copy.py:259(_reconstruct)
       32    0.000    0.000    0.000    0.000 utils.py:23(classify)
       78    0.000    0.000    0.000    0.000 _parser.py:376(_escape)
      585    0.000    0.000    0.000    0.000 grammar.py:25(__hash__)
      117    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
     1180    0.000    0.000    0.000    0.000 lexer.py:70(_get_flags)
       64    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
      599    0.000    0.000    0.000    0.000 lexer.py:394(_regexp_has_newline)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
       12    0.000    0.000    0.000    0.000 {built-in method pytket._tket.unit_id.from_list}
      683    0.000    0.000    0.000    0.000 lexer.py:528(<genexpr>)
        1    0.000    0.000    0.000    0.000 parser_frontends.py:153(<dictcomp>)
      459    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
        2    0.000    0.000    0.000    0.000 assumptions.py:497(getit)
      112    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 assumptions.py:509(_ask)
      198    0.000    0.000    0.000    0.000 enum.py:1507(_get_value)
      402    0.000    0.000    0.000    0.000 _parser.py:83(groups)
     1161    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
